"distrito","species","reino","nombre_cientifico","clase","orden","familia","genero","n_registros","fuentes","plataformas","primer_anio","ultimo_anio","n_distritos_total","es_exclusiva","iucn_match_name","iucn_categoria_raw","iucn_id","iucn_categoria","es_amenazada_iucn"
"Limatambo","Cyanocorax yncas","Fauna","Cyanocorax yncas (Boddaert, 1783)","Aves","Passeriformes","Corvidae","Cyanocorax",1,"GBIF","eBird",2019,2019,2,FALSE,"Cyanocorax yncas","Least Concern","22705738","Preocupación Menor (LC)",FALSE
"Limatambo","Cyclanthera pedata","Flora","Cyclanthera pedata (L.) Schrad.","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cyclanthera",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Cyperus rotundus","Flora","Cyperus rotundus L.","Liliopsida","Poales","Cyperaceae","Cyperus",1,"GBIF","Otros conjuntos mediados por GBIF",2003,2003,1,TRUE,"Cyperus rotundus","Least Concern","158183","Preocupación Menor (LC)",FALSE
"Limatambo","Dalechampia bella","Flora","Dalechampia bella Armbr.","Magnoliopsida","Malpighiales","Euphorbiaceae","Dalechampia",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Daucus montanus","Flora","Daucus montanus","Magnoliopsida","Apiales","Apiaceae","Daucus",1,"iNaturalist","iNaturalist",2022,2022,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Diglossa cyanea","Fauna","Diglossa cyanea (Lafresnaye, 1840)","Aves","Passeriformes","Thraupidae","Diglossa",1,"GBIF","eBird",2019,2019,3,FALSE,"Diglossa cyanea","Least Concern","22723715","Preocupación Menor (LC)",FALSE
"Limatambo","Dodonaea viscosa","Flora","Dodonaea viscosa (L.) Jacq.","Magnoliopsida","Sapindales","Sapindaceae","Dodonaea",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,1,TRUE,"Dodonaea viscosa","Least Concern","66292425","Preocupación Menor (LC)",FALSE
"Limatambo","Dynamine tithia","Fauna","Dynamine tithia salpensa","Insecta","Lepidoptera","Nymphalidae","Dynamine",1,"iNaturalist","iNaturalist",2021,2021,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Emesis mandana","Fauna","Emesis mandana","Insecta","Lepidoptera","Lycaenidae","Emesis",1,"iNaturalist","iNaturalist",2021,2021,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Ensifera ensifera","Fauna","Ensifera ensifera (Boissonneau, 1840)","Aves","Apodiformes","Trochilidae","Ensifera",1,"GBIF","eBird",2018,2018,2,FALSE,"Ensifera ensifera","Least Concern","22687854","Preocupación Menor (LC)",FALSE
