"cell_id","area_km2","records","flora_species","fauna_species","species","recent_records","status","priority","tooltip"
"A157",20.646194701683,1764,179,198,377,970,"Cobertura suficiente",4,"Celda: A157<br>Estado: Cobertura suficiente<br>Registros:  1,764<br>Especies: 377<br>Area: 20.6 km2"
"A158",25,360,50,82,132,221,"Cobertura suficiente",4,"Celda: A158<br>Estado: Cobertura suficiente<br>Registros:    360<br>Especies: 132<br>Area: 25 km2"
"A159",25,8,3,2,5,2,"Cobertura muy baja",2,"Celda: A159<br>Estado: Cobertura muy baja<br>Registros:      8<br>Especies: 5<br>Area: 25 km2"
"A160",19.4018905393019,1,1,0,1,1,"Cobertura muy baja",2,"Celda: A160<br>Estado: Cobertura muy baja<br>Registros:      1<br>Especies: 1<br>Area: 19.4 km2"
"A161",7.28899869128847,1,0,1,1,0,"Cobertura muy baja",2,"Celda: A161<br>Estado: Cobertura muy baja<br>Registros:      1<br>Especies: 1<br>Area: 7.3 km2"
"A162",3.17013070956993,2,1,1,2,2,"Cobertura muy baja",2,"Celda: A162<br>Estado: Cobertura muy baja<br>Registros:      2<br>Especies: 2<br>Area: 3.2 km2"
"A163",15.5092771944437,29,5,23,28,2,"Cobertura baja",3,"Celda: A163<br>Estado: Cobertura baja<br>Registros:     29<br>Especies: 28<br>Area: 15.5 km2"
"A164",24.1403362940771,7394,87,254,341,4057,"Cobertura suficiente",4,"Celda: A164<br>Estado: Cobertura suficiente<br>Registros:  7,394<br>Especies: 341<br>Area: 24.1 km2"
"A165",17.466185490875,29,22,7,29,7,"Cobertura baja",3,"Celda: A165<br>Estado: Cobertura baja<br>Registros:     29<br>Especies: 29<br>Area: 17.5 km2"
"A166",19.7174737272024,6,2,2,4,6,"Cobertura muy baja",2,"Celda: A166<br>Estado: Cobertura muy baja<br>Registros:      6<br>Especies: 4<br>Area: 19.7 km2"
"A167",24.6453838203648,17,4,10,14,14,"Cobertura baja",3,"Celda: A167<br>Estado: Cobertura baja<br>Registros:     17<br>Especies: 14<br>Area: 24.6 km2"
"A168",22.7915290807097,7,1,3,4,3,"Cobertura muy baja",2,"Celda: A168<br>Estado: Cobertura muy baja<br>Registros:      7<br>Especies: 4<br>Area: 22.8 km2"
"A169",25,15,6,2,8,10,"Cobertura baja",3,"Celda: A169<br>Estado: Cobertura baja<br>Registros:     15<br>Especies: 8<br>Area: 25 km2"
"A170",25,8,2,2,4,6,"Cobertura muy baja",2,"Celda: A170<br>Estado: Cobertura muy baja<br>Registros:      8<br>Especies: 4<br>Area: 25 km2"
"A171",25,156,5,48,53,130,"Cobertura suficiente",4,"Celda: A171<br>Estado: Cobertura suficiente<br>Registros:    156<br>Especies: 53<br>Area: 25 km2"
"A172",14.7850144069582,80,1,21,22,68,"Cobertura suficiente",4,"Celda: A172<br>Estado: Cobertura suficiente<br>Registros:     80<br>Especies: 22<br>Area: 14.8 km2"
"A173",2.91304899024552,44,0,21,21,11,"Cobertura baja",3,"Celda: A173<br>Estado: Cobertura baja<br>Registros:     44<br>Especies: 21<br>Area: 2.9 km2"
"A177",12.1374653461701,1,0,1,1,1,"Cobertura muy baja",2,"Celda: A177<br>Estado: Cobertura muy baja<br>Registros:      1<br>Especies: 1<br>Area: 12.1 km2"
"A178",25,1,0,1,1,0,"Cobertura muy baja",2,"Celda: A178<br>Estado: Cobertura muy baja<br>Registros:      1<br>Especies: 1<br>Area: 25 km2"
"A179",25,86,6,42,48,54,"Cobertura suficiente",4,"Celda: A179<br>Estado: Cobertura suficiente<br>Registros:     86<br>Especies: 48<br>Area: 25 km2"
"A180",25,472,11,116,127,422,"Cobertura suficiente",4,"Celda: A180<br>Estado: Cobertura suficiente<br>Registros:    472<br>Especies: 127<br>Area: 25 km2"
"A181",25,27,2,19,21,23,"Cobertura baja",3,"Celda: A181<br>Estado: Cobertura baja<br>Registros:     27<br>Especies: 21<br>Area: 25 km2"
"A182",4.94464278092813,0,0,0,0,0,"Sin registros",1,"Celda: A182<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 4.9 km2"
"A186",5.13931223812686,565,38,107,145,339,"Cobertura suficiente",4,"Celda: A186<br>Estado: Cobertura suficiente<br>Registros:    565<br>Especies: 145<br>Area: 5.1 km2"
"A187",1.41328661556707,2,2,0,2,2,"Cobertura muy baja",2,"Celda: A187<br>Estado: Cobertura muy baja<br>Registros:      2<br>Especies: 2<br>Area: 1.4 km2"
"A189",3.73666362274629,0,0,0,0,0,"Sin registros",1,"Celda: A189<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 3.7 km2"
"A190",11.3250133812287,11,3,5,8,8,"Cobertura baja",3,"Celda: A190<br>Estado: Cobertura baja<br>Registros:     11<br>Especies: 8<br>Area: 11.3 km2"
"A191",23.7152985606773,58,9,24,33,48,"Cobertura suficiente",4,"Celda: A191<br>Estado: Cobertura suficiente<br>Registros:     58<br>Especies: 33<br>Area: 23.7 km2"
"A192",20.3028886578625,49,5,21,26,47,"Cobertura baja",3,"Celda: A192<br>Estado: Cobertura baja<br>Registros:     49<br>Especies: 26<br>Area: 20.3 km2"
"A193",13.5176380480576,208,13,75,88,157,"Cobertura suficiente",4,"Celda: A193<br>Estado: Cobertura suficiente<br>Registros:    208<br>Especies: 88<br>Area: 13.5 km2"
"A194",2.45680301806716,0,0,0,0,0,"Sin registros",1,"Celda: A194<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 2.5 km2"
"A199",18.7695774590119,0,0,0,0,0,"Sin registros",1,"Celda: A199<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 18.8 km2"
"A200",25,1,0,1,1,1,"Cobertura muy baja",2,"Celda: A200<br>Estado: Cobertura muy baja<br>Registros:      1<br>Especies: 1<br>Area: 25 km2"
"A201",25,36,3,16,19,1,"Cobertura baja",3,"Celda: A201<br>Estado: Cobertura baja<br>Registros:     36<br>Especies: 19<br>Area: 25 km2"
"A202",25,79,41,2,43,2,"Cobertura suficiente",4,"Celda: A202<br>Estado: Cobertura suficiente<br>Registros:     79<br>Especies: 43<br>Area: 25 km2"
"A203",23.2005081426423,2,2,0,2,0,"Cobertura muy baja",2,"Celda: A203<br>Estado: Cobertura muy baja<br>Registros:      2<br>Especies: 2<br>Area: 23.2 km2"
"A204",0.86415063178074,0,0,0,0,0,"Sin registros",1,"Celda: A204<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 0.9 km2"
"A212",4.696296135975,3,2,0,2,3,"Cobertura muy baja",2,"Celda: A212<br>Estado: Cobertura muy baja<br>Registros:      3<br>Especies: 2<br>Area: 4.7 km2"
"A213",2.86543009160059,2,1,0,1,0,"Cobertura muy baja",2,"Celda: A213<br>Estado: Cobertura muy baja<br>Registros:      2<br>Especies: 1<br>Area: 2.9 km2"
"A221",3.90446936578184,0,0,0,0,0,"Sin registros",1,"Celda: A221<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 3.9 km2"
"A222",10.7035809163334,1,0,1,1,1,"Cobertura muy baja",2,"Celda: A222<br>Estado: Cobertura muy baja<br>Registros:      1<br>Especies: 1<br>Area: 10.7 km2"
"A223",22.2078513266003,30,0,27,27,0,"Cobertura baja",3,"Celda: A223<br>Estado: Cobertura baja<br>Registros:     30<br>Especies: 27<br>Area: 22.2 km2"
"A224",20.9877829527318,167,80,1,81,1,"Cobertura suficiente",4,"Celda: A224<br>Estado: Cobertura suficiente<br>Registros:    167<br>Especies: 81<br>Area: 21 km2"
"A225",2.51339985023861,0,0,0,0,0,"Sin registros",1,"Celda: A225<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 2.5 km2"
"A246",1.44587594969223,1,0,1,1,0,"Cobertura muy baja",2,"Celda: A246<br>Estado: Cobertura muy baja<br>Registros:      1<br>Especies: 1<br>Area: 1.4 km2"
