scntfcN,taxnRnk,kingdom,order,family,genus,species
"Paraclaravis mondetoura (Bonaparte, 1856)",SPECIES,Animalia,Columbiformes,Columbidae,Claravis,Claravis mondetoura
"Eurema nise (Cramer, 1775)",SPECIES,Animalia,Lepidoptera,Pieridae,Pyrisitia,Pyrisitia nise
Chirgus bocchoris trisignatus,SUBSPECIES,Animalia,Lepidoptera,Hesperiidae,Chirgus,Chirgus bocchoris
"Telenassa berenice (Felder, 1862)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Telenassa,Telenassa berenice
"Urbanus elmina Evans, 1952",SPECIES,Animalia,Lepidoptera,Hesperiidae,Urbanus,Urbanus elmina
"Pedaliodes palaepolis Hewitson, 1878",SPECIES,Animalia,Lepidoptera,Nymphalidae,Pedaliodes,Pedaliodes porina
"Burnsius orcus (Stoll, 1780)",SPECIES,Animalia,Lepidoptera,Hesperiidae,Pyrgus,Pyrgus oileus
"Zizula cyna (W.H.Edwards, 1881)",SPECIES,Animalia,Lepidoptera,Lycaenidae,Lycaena,Lycaena cyna
"Leptophobia aripa (Boisduval, 1836)",SPECIES,Animalia,Lepidoptera,Pieridae,Leptophobia,Leptophobia aripa
Strymon bazochii bazochii,SUBSPECIES,Animalia,Lepidoptera,Lycaenidae,Strymon,Strymon bazochii
Hedone vibex,SPECIES,Animalia,Lepidoptera,Hesperiidae,Polites,Hedone vibex
"Thespieus argentina Draudt, 1924",SPECIES,Animalia,Lepidoptera,Hesperiidae,Thespieus,Thespieus argentina
"Strymon bubastus (Stoll, 1780)",SPECIES,Animalia,Lepidoptera,Lycaenidae,Strymon,Strymon bubastus
"Emesis mandana (Cramer, 1780)",SPECIES,Animalia,Lepidoptera,Lycaenidae,Emesis,Emesis mandana
"Hippodamia convergens Guérin-Méneville, 1842",SPECIES,Animalia,Coleoptera,Coccinellidae,Hippodamia,Hippodamia convergens
"Synallaxis azarae Orbigny, 1835",SPECIES,Animalia,Passeriformes,Furnariidae,Synallaxis,Synallaxis azarae
"Lepidocolaptes lacrymiger (Des Murs, 1849)",SPECIES,Animalia,Passeriformes,Furnariidae,Lepidocolaptes,Lepidocolaptes lacrymiger
"Chlorospingus flavopectus (Lafresnaye, 1840)",SPECIES,Animalia,Passeriformes,Passerellidae,Chlorospingus,Chlorospingus flavopectus
"Chalcothraupis ruficervix (Prévost & Des Murs, 1842)",SPECIES,Animalia,Passeriformes,Thraupidae,Chalcothraupis,Chalcothraupis ruficervix
"Myioborus miniatus (Swainson, 1827)",SPECIES,Animalia,Passeriformes,Parulidae,Myioborus,Myioborus miniatus
"Atlapetes canigenis Chapman, 1919",SPECIES,Animalia,Passeriformes,Passerellidae,Atlapetes,Atlapetes canigenis
"Conopias cinchoneti (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Tyrannidae,Conopias,Conopias cinchoneti
"Amazona mercenaria (Tschudi, 1844)",SPECIES,Animalia,Psittaciformes,Psittacidae,Amazona,Amazona mercenaria
"Adelomyia melanogenys (Fraser, 1840)",SPECIES,Animalia,Apodiformes,Trochilidae,Adelomyia,Adelomyia melanogenys
"Cyanocorax yncas (Boddaert, 1783)",SPECIES,Animalia,Passeriformes,Corvidae,Cyanocorax,Cyanocorax yncas
"Coeligena violifer (Gould, 1846)",SPECIES,Animalia,Apodiformes,Trochilidae,Coeligena,Coeligena violifer
"Rupicola peruvianus (Latham, 1790)",SPECIES,Animalia,Passeriformes,Cotingidae,Rupicola,Rupicola peruvianus
"Piranga flava (Vieillot, 1822)",SPECIES,Animalia,Passeriformes,Cardinalidae,Piranga,Piranga flava
"Stilpnia cyanicollis (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Stilpnia,Stilpnia cyanicollis
"Aglaoctenus lagotis (Holmberg, 1876)",SPECIES,Animalia,Araneae,Lycosidae,Aglaoctenus,Aglaoctenus lagotis
"Dactylopius coccus Costa, 1829",SPECIES,Animalia,Hemiptera,Dactylopiidae,Dactylopius,Dactylopius coccus
"Ensifera ensifera (Boissonneau, 1840)",SPECIES,Animalia,Apodiformes,Trochilidae,Ensifera,Ensifera ensifera
"Leptasthenura andicola P.L.Sclater, 1870",SPECIES,Animalia,Passeriformes,Furnariidae,Leptasthenura,Leptasthenura andicola
"Heliangelus amethysticollis (d'Orbigny & Lafresnaye, 1838)",SPECIES,Animalia,Apodiformes,Trochilidae,Heliangelus,Heliangelus amethysticollis
"Mastigodryas boddaerti (Sentzen, 1796)",SPECIES,Animalia,NA,Colubridae,Mastigodryas,Mastigodryas boddaerti
"Tremarctos ornatus (F.G.Cuvier, 1825)",SPECIES,Animalia,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus
"Nothocercus nigrocapillus (G.R.Gray, 1867)",SPECIES,Animalia,Tinamiformes,Tinamidae,Nothocercus,Nothocercus nigrocapillus
"Sporophila castaneiventris Cabanis, 1849",SPECIES,Animalia,Passeriformes,Thraupidae,Sporophila,Sporophila castaneiventris
"Cranioleuca albicapilla albigula Zimmer, 1924",SUBSPECIES,Animalia,Passeriformes,Furnariidae,Cranioleuca,Cranioleuca albicapilla
"Kleinothraupis parodii (Weske & Terborgh, 1974)",SPECIES,Animalia,Passeriformes,Thraupidae,Kleinothraupis,Kleinothraupis parodii
"Henicorhina leucophrys (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Troglodytidae,Henicorhina,Henicorhina leucophrys
"Mecocerculus poecilocercus (P.L.Sclater & Salvin, 1873)",SPECIES,Animalia,Passeriformes,Tyrannidae,Mecocerculus,Mecocerculus poecilocercus
"Eotetranychus lewisi (McGregor, 1943)",SPECIES,Animalia,Trombidiformes,Tetranychidae,Eotetranychus,Eotetranychus lewisi
"Tetranychus zamithi Paschoal, 1970",SPECIES,Animalia,Trombidiformes,Tetranychidae,Tetranychus,Tetranychus zamithi
"Dasybasis frequens (Kröber, 1931)",SPECIES,Animalia,Diptera,Tabanidae,Dasybasis,Dasybasis frequens
"Cranioleuca marcapatae Zimmer, 1935",SPECIES,Animalia,Passeriformes,Furnariidae,Cranioleuca,Cranioleuca marcapatae
"Phyllomyias uropygialis (Lawrence, 1869)",SPECIES,Animalia,Passeriformes,Tyrannidae,Phyllomyias,Phyllomyias uropygialis
"Troglodytes aedon Vieillot, 1809",SPECIES,Animalia,Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon
"Anthophora arequipensis Brèthes, 1920",SPECIES,Animalia,Hymenoptera,Apidae,Anthophora,Anthophora arequipensis
"Chilicola xanthostoma Michener, 2002",SPECIES,Animalia,Hymenoptera,Colletidae,Chilicola,Chilicola xanthostoma
"Chilicola maculipes Michener, 2002",SPECIES,Animalia,Hymenoptera,Colletidae,Chilicola,Chilicola maculipes
"Aratinga wagleri minor Carriker, 1933",SUBSPECIES,Animalia,Psittaciformes,Psittacidae,Aratinga,Aratinga wagleri
"Knipolegus aterrimus anthracinus Cabanis, 1860",SUBSPECIES,Animalia,Passeriformes,Tyrannidae,Knipolegus,Knipolegus aterrimus
"Sporophila nigricollis inconspicua Berlepsch & Stolzmann, 1906",SUBSPECIES,Animalia,Passeriformes,Thraupidae,Sporophila,Sporophila nigricollis
"Stenocercus apurimacus Fritts, 1972",SPECIES,Animalia,NA,Tropiduridae,Stenocercus,Stenocercus apurimacus
"Telmatobius mantaro Ttito, Landauro, Venegas, De la Riva & Chaparro, 2016",SPECIES,Animalia,Anura,Telmatobiidae,Telmatobius,Telmatobius mantaro
"Aglaeactis castelnaudii castelnaudii (Bourcier & Mulsant, 1848)",SUBSPECIES,Animalia,Apodiformes,Trochilidae,Aglaeactis,Aglaeactis castelnaudii
"Merganetta armata turneri P.L.Sclater & Salvin, 1869",SUBSPECIES,Animalia,Anseriformes,Anatidae,Merganetta,Merganetta armata
"Mecocerculus leucophrys brunneomarginatus Chapman, 1924",SUBSPECIES,Animalia,Passeriformes,Tyrannidae,Mecocerculus,Mecocerculus leucophrys
"Tachytes amazonus F.Smith, 1856",SPECIES,Animalia,Hymenoptera,Crabronidae,Tachytes,Tachytes amazonus
"Pompilocalus pachacutec Roig-Alsina, 1989",SPECIES,Animalia,Hymenoptera,Pompilidae,Pompilocalus,Pompilocalus pachacutec
"Polistes versicolor (Olivier, 1791)",SPECIES,Animalia,Hymenoptera,Eumenidae,Polistes,Polistes versicolor
"Proctoporus unsaacae Doan & Castoe, 2003",SPECIES,Animalia,NA,Gymnophthalmidae,Proctoporus,Proctoporus unsaacae
"Atlapetes melanolaemus (P.L.Sclater & Salvin, 1879)",SPECIES,Animalia,Passeriformes,Passerellidae,Atlapetes,Atlapetes melanolaemus
"Proctoporus bolivianus Werner, 1910",SPECIES,Animalia,NA,Gymnophthalmidae,Proctoporus,Proctoporus bolivianus
"Docalidia frondosa Nielson, 1979",SPECIES,Animalia,Hemiptera,Cicadellidae,Docalidia,Docalidia frondosa
"Crinorus projectus Nielson, 1982",SPECIES,Animalia,Hemiptera,Cicadellidae,Crinorus,Crinorus projectus
Pelonium erudiatum,SPECIES,Animalia,Coleoptera,Cleridae,Pelonium,Pelonium erudiatum
"Ancognatha scarabaeoides Erichson, 1847",SPECIES,Animalia,Coleoptera,Scarabaeidae,Ancognatha,Ancognatha scarabaeoides
"Euchroma giganteum (Linnaeus, 1758)",SPECIES,Animalia,Coleoptera,Buprestidae,Euchroma,Euchroma giganteum
"Eudule limbata Burmeister, 1878",SPECIES,Animalia,Lepidoptera,Geometridae,Eudule,Eudule limbata
Strymon bazochii (Godart),SPECIES,Animalia,Lepidoptera,Lycaenidae,Strymon,Strymon bazochii
"Argiope trifasciata (Forsskål, 1775)",SPECIES,Animalia,Araneae,Araneidae,Argiope,Argiope trifasciata
"Zerene cesonia (Stoll, 1790)",SPECIES,Animalia,Lepidoptera,Pieridae,Zerene,Zerene cesonia
"Stenocercus ochoai Fritts, 1972",SPECIES,Animalia,NA,Tropiduridae,Stenocercus,Stenocercus ochoai
"Heliconius erato (Linnaeus, 1758)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Heliconius,Heliconius erato
"Ochthoeca thoracica Taczanowski, 1874",SPECIES,Animalia,Passeriformes,Tyrannidae,Ochthoeca,Ochthoeca thoracica
"Catamblyrhynchus diadema Lafresnaye, 1842",SPECIES,Animalia,Passeriformes,Thraupidae,Catamblyrhynchus,Catamblyrhynchus diadema
"Mecocerculus stictopterus (P.L.Sclater, 1859)",SPECIES,Animalia,Passeriformes,Tyrannidae,Mecocerculus,Mecocerculus stictopterus
"Hoplosphyrum griseum (Philippi, 1863)",SPECIES,Animalia,Orthoptera,Mogoplistidae,Hoplosphyrum,Hoplosphyrum griseum
"Zentrygon frenata (Tschudi, 1843)",SPECIES,Animalia,Columbiformes,Columbidae,Zentrygon,Zentrygon frenata
"Patagioenas maculosa albipennis (P.L.Sclater & Salvin, 1876)",SUBSPECIES,Animalia,Columbiformes,Columbidae,Patagioenas,Patagioenas maculosa
"Amazonetta brasiliensis (J.F.Gmelin, 1789)",SPECIES,Animalia,Anseriformes,Anatidae,Amazonetta,Amazonetta brasiliensis
"Lama glama (Linnaeus, 1758)",SPECIES,Animalia,Artiodactyla,Camelidae,Lama,Lama glama
"Diglossa mystacalis Lafresnaye, 1846",SPECIES,Animalia,Passeriformes,Thraupidae,Diglossa,Diglossa mystacalis
"Lurocalis rufiventris Taczanowski, 1884",SPECIES,Animalia,Caprimulgiformes,Caprimulgidae,Lurocalis,Lurocalis rufiventris
"Myiotheretes fumigatus (Boissonneau, 1840)",SPECIES,Animalia,Passeriformes,Tyrannidae,Myiotheretes,Myiotheretes fumigatus
"Piaya cayana (Linnaeus, 1766)",SPECIES,Animalia,Cuculiformes,Cuculidae,Piaya,Piaya cayana
"Haplospiza rustica (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Thraupidae,Haplospiza,Haplospiza rustica
"Heliodoxa branickii (Taczanowski, 1874)",SPECIES,Animalia,Apodiformes,Trochilidae,Heliodoxa,Heliodoxa branickii
"Grallaria occabambae (Chapman, 1923)",SPECIES,Animalia,Passeriformes,Grallariidae,Grallaria,Grallaria rufula
"Odontophorus balliviani Gould, 1846",SPECIES,Animalia,Galliformes,Odontophoridae,Odontophorus,Odontophorus balliviani
"Pheugopedius eisenmanni (T.A.Parker & O'Neill, 1985)",SPECIES,Animalia,Passeriformes,Troglodytidae,Pheugopedius,Pheugopedius eisenmanni
"Asthenes vilcabambae (Vaurie, Weske & Terborgh, 1972)",SPECIES,Animalia,Passeriformes,Furnariidae,Schizoeaca,Schizoeaca vilcabambae
"Chaetura cinereiventris P.L.Sclater, 1862",SPECIES,Animalia,Apodiformes,Apodidae,Chaetura,Chaetura cinereiventris
"Troglodytes solstitialis P.L.Sclater, 1859",SPECIES,Animalia,Passeriformes,Troglodytidae,Troglodytes,Troglodytes solstitialis
"Conirostrum speciosum (Temminck, 1824)",SPECIES,Animalia,Passeriformes,Thraupidae,Conirostrum,Conirostrum speciosum
"Andigena hypoglauca (Gould, 1833)",SPECIES,Animalia,Piciformes,Ramphastidae,Andigena,Andigena hypoglauca
"Haplophaedia assimilis (D.G.Elliot, 1876)",SPECIES,Animalia,Apodiformes,Trochilidae,Haplophaedia,Haplophaedia assimilis
"Bombus coccineus Friese, 1903",SPECIES,Animalia,Hymenoptera,Apidae,Bombus,Bombus coccineus
"Cybdelis boliviana Salvin, 1869",SPECIES,Animalia,Lepidoptera,Nymphalidae,Cybdelis,Cybdelis phaesyle
"Dynamine postverta Cramer, 1782",SPECIES,Animalia,Lepidoptera,Nymphalidae,Dynamine,Dynamine mylitta
"Eulaema polychroma (Friese, 1899)",SPECIES,Animalia,Hymenoptera,Apidae,Eulaema,Eulaema polychroma
"Battus polydamas (Linnaeus, 1758)",SPECIES,Animalia,Lepidoptera,Papilionidae,Battus,Battus polydamas
"Vanessa carye (Hübner, 1812)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Vanessa,Vanessa carye
"Myiothlypis chrysogaster (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Parulidae,Myiothlypis,Myiothlypis chrysogaster
"Chalcostigma ruficeps (Gould, 1846)",SPECIES,Animalia,Apodiformes,Trochilidae,Chalcostigma,Chalcostigma ruficeps
"Falco rufigularis Daudin, 1800",SPECIES,Animalia,Falconiformes,Falconidae,Falco,Falco rufigularis
"Asthenes urubambensis (Chapman, 1919)",SPECIES,Animalia,Passeriformes,Furnariidae,Asthenes,Asthenes urubambensis
"Phoebis philea (Linnaeus, 1763)",SPECIES,Animalia,Lepidoptera,Pieridae,Phoebis,Phoebis philea
Cinclodes albiventris albiventris,SUBSPECIES,Animalia,Passeriformes,Furnariidae,Cinclodes,Cinclodes fuscus
"Thlypopsis ornata (P.L.Sclater, 1859)",SPECIES,Animalia,Passeriformes,Thraupidae,Thlypopsis,Thlypopsis ornata
"Myadestes ralloides (Orbigny, 1840)",SPECIES,Animalia,Passeriformes,Turdidae,Myadestes,Myadestes ralloides
"Micrurus annellatus Peters, 1871",SPECIES,Animalia,NA,Elapidae,Micrurus,Micrurus annellatus
"Peucetia rubrolineata Keyserling, 1877",SPECIES,Animalia,Araneae,Oxyopidae,Peucetia,Peucetia rubrolineata
Oeda informis Westwood,SPECIES,Animalia,Hemiptera,Membracidae,Oeda,Oeda informis
"Oressinoma sorata Salvin, 1868",SPECIES,Animalia,Lepidoptera,Nymphalidae,Oressinoma,Oressinoma typhla
"Paroaria gularis (Linnaeus, 1766)",SPECIES,Animalia,Passeriformes,Thraupidae,Paroaria,Paroaria gularis
"Leptopogon taczanowskii Hellmayr, 1917",SPECIES,Animalia,Passeriformes,Tyrannidae,Leptopogon,Leptopogon taczanowskii
"Thamnophilus caerulescens Vieillot, 1816",SPECIES,Animalia,Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus caerulescens
"Pseudocolaptes boissonneautii (Lafresnaye, 1840)",SPECIES,Animalia,Passeriformes,Furnariidae,Pseudocolaptes,Pseudocolaptes boissonneautii
"Lymanopoda shefteli Dyar, 1913",SPECIES,Animalia,Lepidoptera,Nymphalidae,Lymanopoda,Lymanopoda shefteli
"Thlypopsis superciliaris (Lafresnaye, 1840)",SPECIES,Animalia,Passeriformes,Thraupidae,Thlypopsis,Thlypopsis superciliaris
"Phaethornis guy (R.Lesson, 1833)",SPECIES,Animalia,Apodiformes,Trochilidae,Phaethornis,Phaethornis guy
"Cistothorus platensis (Latham, 1790)",SPECIES,Animalia,Passeriformes,Troglodytidae,Cistothorus,Cistothorus platensis
"Margarornis squamiger (Orbigny & Lafresnaye, 1838)",SPECIES,Animalia,Passeriformes,Furnariidae,Margarornis,Margarornis squamiger
"Cinclodes aricomae (Carriker, 1932)",SPECIES,Animalia,Passeriformes,Furnariidae,Cinclodes,Cinclodes aricomae
"Conirostrum sitticolor Lafresnaye, 1840",SPECIES,Animalia,Passeriformes,Thraupidae,Conirostrum,Conirostrum sitticolor
"Xiphocolaptes promeropirhynchus (Lesson, 1840)",SPECIES,Animalia,Passeriformes,Furnariidae,Xiphocolaptes,Xiphocolaptes promeropirhynchus
"Silvicultrix frontalis (Lafresnaye, 1847)",SPECIES,Animalia,Passeriformes,Tyrannidae,Ochthoeca,Ochthoeca frontalis
"Coeligena coeligena (R.Lesson, 1833)",SPECIES,Animalia,Apodiformes,Trochilidae,Coeligena,Coeligena coeligena
"Urbanus proteus (Linnaeus, 1758)",SPECIES,Animalia,Lepidoptera,Hesperiidae,Urbanus,Urbanus proteus
"Diabrotica speciosa Germar, 1824",SPECIES,Animalia,Coleoptera,Chrysomelidae,Diabrotica,Diabrotica speciosa
"Tangara vassorii (Boissonneau, 1840)",SPECIES,Animalia,Passeriformes,Thraupidae,Tangara,Tangara vassorii
"Scytalopus parvirostris Zimmer, 1939",SPECIES,Animalia,Passeriformes,Rhinocryptidae,Scytalopus,Scytalopus parvirostris
"Scytalopus schulenbergi B.M.Whitney, 1994",SPECIES,Animalia,Passeriformes,Rhinocryptidae,Scytalopus,Scytalopus schulenbergi
"Strix albitarsis (Bonaparte, 1850)",SPECIES,Animalia,Strigiformes,Strigidae,Strix,Strix albitarsis
"Myiodynastes chrysocephalus (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Tyrannidae,Myiodynastes,Myiodynastes chrysocephalus
"Campylorhynchus turdinus (Wied-Neuwied, 1821)",SPECIES,Animalia,Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus turdinus
"Nephelomyias ochraceiventris (Cabanis, 1873)",SPECIES,Animalia,Passeriformes,Tyrannidae,Myiophobus,Myiophobus ochraceiventris
"Chondrohierax uncinatus (Temminck, 1822)",SPECIES,Animalia,Accipitriformes,Accipitridae,Chondrohierax,Chondrohierax uncinatus
"Sicalis lutea (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Sicalis,Sicalis lutea
"Sphenopsis frontalis (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Thraupidae,Sphenopsis,Sphenopsis frontalis
"Tapera naevia (Linnaeus, 1766)",SPECIES,Animalia,Cuculiformes,Cuculidae,Tapera,Tapera naevia
"Sporophila caerulescens (Vieillot, 1823)",SPECIES,Animalia,Passeriformes,Thraupidae,Sporophila,Sporophila caerulescens
"Idiopsar brachyurus Cassin, 1867",SPECIES,Animalia,Passeriformes,Thraupidae,Idiopsar,Idiopsar brachyurus
"Conirostrum albifrons Lafresnaye, 1842",SPECIES,Animalia,Passeriformes,Thraupidae,Conirostrum,Conirostrum albifrons
"Synallaxis hypospodia P.L.Sclater, 1874",SPECIES,Animalia,Passeriformes,Furnariidae,Synallaxis,Synallaxis hypospodia
"Coeligena inca (Gould, 1852)",SPECIES,Animalia,Apodiformes,Trochilidae,Coeligena,Coeligena torquata
"Creurgops dentatus (P.L.Sclater & Salvin, 1876)",SPECIES,Animalia,Passeriformes,Thraupidae,Creurgops,Creurgops dentatus
"Leptotila rufaxilla (Richard & Bernard, 1792)",SPECIES,Animalia,Columbiformes,Columbidae,Leptotila,Leptotila rufaxilla
"Euphonia laniirostris d'Orbigny & Lafresnaye, 1837",SPECIES,Animalia,Passeriformes,Fringillidae,Euphonia,Euphonia laniirostris
"Xenops rutilans Temminck, 1821",SPECIES,Animalia,Passeriformes,Furnariidae,Xenops,Xenops rutilans
"Buthraupis montana (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Buthraupis,Buthraupis montana
"Pipra fasciicauda Hellmayr, 1906",SPECIES,Animalia,Passeriformes,Pipridae,Pipra,Pipra fasciicauda
"Glaucidium brasilianum (J.F.Gmelin, 1788)",SPECIES,Animalia,Strigiformes,Strigidae,Glaucidium,Glaucidium brasilianum
"Elaenia parvirostris Pelzeln, 1868",SPECIES,Animalia,Passeriformes,Tyrannidae,Elaenia,Elaenia parvirostris
"Mionectes striaticollis (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Mionectes,Mionectes striaticollis
"Iridosornis analis (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Thraupidae,Iridosornis,Iridosornis analis
"Pipreola arcuata (Lafresnaye, 1843)",SPECIES,Animalia,Passeriformes,Cotingidae,Pipreola,Pipreola arcuata
"Iridosornis jelskii Cabanis, 1873",SPECIES,Animalia,Passeriformes,Thraupidae,Iridosornis,Iridosornis jelskii
"Picumnus dorbignyanus Lafresnaye, 1845",SPECIES,Animalia,Piciformes,Picidae,Picumnus,Picumnus dorbignyanus
"Trogon personatus Gould, 1842",SPECIES,Animalia,Trogoniformes,Trogonidae,Trogon,Trogon personatus
"Cinnycerthia fulva (P.L.Sclater, 1874)",SPECIES,Animalia,Passeriformes,Troglodytidae,Cinnycerthia,Cinnycerthia fulva
"Pionus tumultuosus (Tschudi, 1844)",SPECIES,Animalia,Psittaciformes,Psittacidae,Pionus,Pionus tumultuosus
"Psarocolius atrovirens (Orbigny & Lafresnaye, 1838)",SPECIES,Animalia,Passeriformes,Icteridae,Psarocolius,Psarocolius atrovirens
"Arremon brunneinucha (Lafresnaye, 1839)",SPECIES,Animalia,Passeriformes,Passerellidae,Arremon,Arremon brunneinucha
"Xylocopa viridigastra Lepeletier, 1841",SPECIES,Animalia,Hymenoptera,Apidae,Xylocopa,Xylocopa viridigastra
"Phyllomyias sclateri Berlepsch, 1901",SPECIES,Animalia,Passeriformes,Tyrannidae,Phyllomyias,Phyllomyias sclateri
"Diglossa brunneiventris brunneiventris Lafresnaye, 1846",SUBSPECIES,Animalia,Passeriformes,Thraupidae,Diglossa,Diglossa brunneiventris
Metardaris cosinga cosinga,SUBSPECIES,Animalia,Lepidoptera,Hesperiidae,Metardaris,Metardaris cosinga
"Diglossa caerulescens (P.L.Sclater, 1856)",SPECIES,Animalia,Passeriformes,Thraupidae,Diglossa,Diglossa caerulescens
"Coeligena torquata (Boissonneau, 1840)",SPECIES,Animalia,Apodiformes,Trochilidae,Coeligena,Coeligena torquata
"Piranga olivacea (J.F.Gmelin, 1789)",SPECIES,Animalia,Passeriformes,Cardinalidae,Piranga,Piranga olivacea
"Oncopeltus zonatus (Erichson, 1848)",SPECIES,Animalia,Hemiptera,Lygaeidae,Oncopeltus,Oncopeltus zonatus
"Contopus fumigatus (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Contopus,Contopus fumigatus
"Chlorophonia cyanocephala (Vieillot, 1819)",SPECIES,Animalia,Passeriformes,Fringillidae,Euphonia,Euphonia cyanocephala
"Drymophila striaticeps Chapman, 1912",SPECIES,Animalia,Passeriformes,Thamnophilidae,Drymophila,Drymophila striaticeps
"Campephilus haematogaster (Tschudi, 1844)",SPECIES,Animalia,Piciformes,Picidae,Campephilus,Campephilus haematogaster
"Pachyramphus versicolor (Hartlaub, 1843)",SPECIES,Animalia,Passeriformes,Cotingidae,Pachyramphus,Pachyramphus versicolor
"Elaenia gigas P.L.Sclater, 1871",SPECIES,Animalia,Passeriformes,Tyrannidae,Elaenia,Elaenia gigas
"Setophaga pitiayumi (Vieillot, 1817)",SPECIES,Animalia,Passeriformes,Parulidae,Setophaga,Setophaga pitiayumi
"Spizaetus isidori (Des Murs, 1845)",SPECIES,Animalia,Accipitriformes,Accipitridae,Spizaetus,Spizaetus isidori
"Todirostrum cinereum (Linnaeus, 1766)",SPECIES,Animalia,Passeriformes,Tyrannidae,Todirostrum,Todirostrum cinereum
"Cnemarchus erythropygius (P.L.Sclater, 1853)",SPECIES,Animalia,Passeriformes,Tyrannidae,Cnemarchus,Cnemarchus erythropygius
"Anisognathus lacrymosus (Du Bus de Gisignies, 1846)",SPECIES,Animalia,Passeriformes,Thraupidae,Anisognathus,Anisognathus lacrymosus
"Scytalopus atratus Hellmayr, 1922",SPECIES,Animalia,Passeriformes,Rhinocryptidae,Scytalopus,Scytalopus atratus
"Knipolegus poecilurus (P.L.Sclater, 1862)",SPECIES,Animalia,Passeriformes,Tyrannidae,Knipolegus,Knipolegus poecilurus
"Turdus leucops Taczanowski, 1877",SPECIES,Animalia,Passeriformes,Turdidae,Turdus,Turdus leucops
"Heliodoxa leadbeateri (Bourcier, 1843)",SPECIES,Animalia,Apodiformes,Trochilidae,Heliodoxa,Heliodoxa leadbeateri
"Dione glycera (C.Felder & R.Felder, 1861)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Dione,Dione glycera
"Geothlypis velata (Vieillot, 1809)",SPECIES,Animalia,Passeriformes,Parulidae,Geothlypis,Geothlypis velata
"Coereba flaveola (Linnaeus, 1758)",SPECIES,Animalia,Passeriformes,Thraupidae,Coereba,Coereba flaveola
"Rufirallus viridis (Müller & Pls, 1776)",SPECIES,Animalia,Gruiformes,Rallidae,Anurolimnas,Anurolimnas viridis
"Basileuterus tristriatus (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Parulidae,Basileuterus,Basileuterus tristriatus
"Leptosittaca branickii Berlepsch & Stolzmann, 1894",SPECIES,Animalia,Psittaciformes,Psittacidae,Leptosittaca,Leptosittaca branickii
"Muscisaxicola rufivertex occipitalis Ridgway, 1887",SUBSPECIES,Animalia,Passeriformes,Tyrannidae,Muscisaxicola,Muscisaxicola rufivertex
"Atlapetes tricolor (Taczanowski, 1875)",SPECIES,Animalia,Passeriformes,Passerellidae,Atlapetes,Atlapetes tricolor
"Chloephaga melanoptera (Eyton, 1838)",SPECIES,Animalia,Anseriformes,Anatidae,Chloephaga,Chloephaga melanoptera
"Sporophila angolensis (Linnaeus, 1766)",SPECIES,Animalia,Passeriformes,Thraupidae,Sporophila,Sporophila angolensis
"Sphenopsis melanotis (P.L.Sclater, 1855)",SPECIES,Animalia,Passeriformes,Thraupidae,Sphenopsis,Sphenopsis melanotis
"Amblycercus holosericeus (Deppe, 1830)",SPECIES,Animalia,Passeriformes,Icteridae,Amblycercus,Amblycercus holosericeus
"Uropsalis segmentata (Cassin, 1849)",SPECIES,Animalia,Caprimulgiformes,Caprimulgidae,Uropsalis,Uropsalis segmentata
"Xenops genibarbis Illiger, 1811",SPECIES,Animalia,Passeriformes,Furnariidae,Xenops,Xenops genibarbis
"Myiothlypis coronata (Tschudi, 1844)",SPECIES,Animalia,Passeriformes,Parulidae,Myiothlypis,Myiothlypis coronata
"Oxyura jamaicensis ferruginea (Eyton, 1838)",SUBSPECIES,Animalia,Anseriformes,Anatidae,Oxyura,Oxyura ferruginea
"Megascops albogularis (Cassin, 1849)",SPECIES,Animalia,Strigiformes,Strigidae,Megascops,Megascops albogularis
"Metardaris cosinga (Hewitson, 1874)",SPECIES,Animalia,Lepidoptera,Hesperiidae,Metardaris,Metardaris cosinga
"Panyapedaliodes drymaea (Hewitson, 1858)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Panyapedaliodes,Panyapedaliodes drymaea
