scntfcN,taxnRnk,kingdom,order,family,genus,species
"Vanellus resplendens (Tschudi, 1843)",SPECIES,Animalia,Charadriiformes,Charadriidae,Vanellus,Vanellus resplendens
"Lophonetta specularioides (P.P.King, 1828)",SPECIES,Animalia,Anseriformes,Anatidae,Lophonetta,Lophonetta specularioides
"Nothoprocta pentlandii (G.R.Gray, 1867)",SPECIES,Animalia,Tinamiformes,Tinamidae,Nothoprocta,Nothoprocta pentlandii
"Rhopospina alaudina (Kittlitz, 1833)",SPECIES,Animalia,Passeriformes,Thraupidae,Porphyrospiza,Porphyrospiza alaudina
"Boissonneaua matthewsii (Bourcier, 1847)",SPECIES,Animalia,Apodiformes,Trochilidae,Boissonneaua,Boissonneaua matthewsii
"Falco peregrinus Tunstall, 1771",SPECIES,Animalia,Falconiformes,Falconidae,Falco,Falco peregrinus
"Muscisaxicola maculirostris Orbigny & Lafresnaye, 1837",SPECIES,Animalia,Passeriformes,Tyrannidae,Muscisaxicola,Muscisaxicola maculirostris
"Geospizopsis unicolor (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Geospizopsis,Geospizopsis unicolor
"Oreotrochilus estella (d'Orbigny, 1838)",SPECIES,Animalia,Apodiformes,Trochilidae,Oreotrochilus,Oreotrochilus estella
"Atlapetes forbesi Morrison, 1947",SPECIES,Animalia,Passeriformes,Passerellidae,Atlapetes,Atlapetes forbesi
"Nothoprocta ornata (G.R.Gray, 1867)",SPECIES,Animalia,Tinamiformes,Tinamidae,Nothoprocta,Nothoprocta ornata
"Conirostrum binghami (Chapman, 1919)",SPECIES,Animalia,Passeriformes,Thraupidae,Conirostrum,Conirostrum binghami
"Anairetes parulus (Kittlitz, 1830)",SPECIES,Animalia,Passeriformes,Tyrannidae,Anairetes,Anairetes parulus
"Columba livia J.F.Gmelin, 1789",SPECIES,Animalia,Columbiformes,Columbidae,Columba,Columba livia
"Theristicus branickii Berlepsch & Stolzmann, 1894",SPECIES,Animalia,Pelecaniformes,Threskiornithidae,Theristicus,Theristicus melanopis
"Geositta tenuirostris (Lafresnaye, 1836)",SPECIES,Animalia,Passeriformes,Furnariidae,Geositta,Geositta tenuirostris
"Psittacara mitratus (Tschudi, 1844)",SPECIES,Animalia,Psittaciformes,Psittacidae,Aratinga,Aratinga mitrata
"Asthenes wyatti (P.L.Sclater & Salvin, 1871)",SPECIES,Animalia,Passeriformes,Furnariidae,Asthenes,Asthenes wyatti
"Chroicocephalus serranus (Tschudi, 1844)",SPECIES,Animalia,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus serranus
"Leptasthenura xenothorax Chapman, 1921",SPECIES,Animalia,Passeriformes,Furnariidae,Leptasthenura,Leptasthenura xenothorax
"Scytalopus simonsi Chubb, 1917",SPECIES,Animalia,Passeriformes,Rhinocryptidae,Scytalopus,Scytalopus simonsi
"Thlypopsis ruficeps (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Thlypopsis,Thlypopsis ruficeps
"Glaucidium peruanum C.König, 1991",SPECIES,Animalia,Strigiformes,Strigidae,Glaucidium,Glaucidium peruanum
"Aeronautes montivagus (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Apodiformes,Apodidae,Aeronautes,Aeronautes montivagus
