"nombre_enviado","reino_enviado","usage_key","accepted_usage_key","scientific_name","canonical_name","rank","status","confidence","match_type","kingdom","phylum","class","order","family","genus","species","consulta_utc"
"Tropaeolum minus","Plantae","2889930",NA,"Tropaeolum minus L.","Tropaeolum minus","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","Tropaeolum","Tropaeolum minus","2026-08-29 23:33:29 UTC"
"Tropaeolum peregrinum","Plantae","7274324",NA,"Tropaeolum peregrinum L.","Tropaeolum peregrinum","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","Tropaeolum","Tropaeolum peregrinum","2026-08-29 23:33:29 UTC"
"Urtica flabellata","Plantae","5670265",NA,"Urtica flabellata Kunth","Urtica flabellata","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Urtica","Urtica flabellata","2026-08-29 23:33:29 UTC"
"Urtica leptophylla","Plantae","5669658",NA,"Urtica leptophylla Kunth","Urtica leptophylla","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Urtica","Urtica leptophylla","2026-08-29 23:33:29 UTC"
"Vachellia macracantha","Plantae","3795445",NA,"Vachellia macracantha (Humb. & Bonpl. ex Willd.) Seigler & Ebinger","Vachellia macracantha","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vachellia","Vachellia macracantha","2026-08-29 23:33:29 UTC"
"Valeriana micropterina","Plantae","4095239",NA,"Valeriana micropterina Wedd.","Valeriana micropterina","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Valeriana","Valeriana micropterina","2026-08-29 23:33:29 UTC"
"Vallea ecuadorensis","Plantae","4031249",NA,"Vallea ecuadorensis J.Jaram.","Vallea ecuadorensis","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Elaeocarpaceae","Vallea","Vallea ecuadorensis","2026-08-29 23:33:29 UTC"
"Vallea stipularis","Plantae","7721174",NA,"Vallea stipularis Mutis ex L.fil.","Vallea stipularis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Elaeocarpaceae","Vallea","Vallea stipularis","2026-08-29 23:33:29 UTC"
"Vasconcellea quercifolia","Plantae","3838736",NA,"Vasconcellea quercifolia A.St.-Hil.","Vasconcellea quercifolia","SPECIES","ACCEPTED",100,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Caricaceae","Vasconcellea","Vasconcellea quercifolia","2026-08-29 23:33:29 UTC"
"Verbascum virgatum","Plantae","3171954",NA,"Verbascum virgatum Stokes","Verbascum virgatum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","Verbascum","Verbascum virgatum","2026-08-29 23:33:29 UTC"
