"dataset_key","dataset_title","dataset_doi","publishing_organization_key"
"aae308f4-9f9c-4cdd-b4ef-c026f48be551","Snow Entomological Museum Collection","10.15468/fhntpy","b554c320-0560-11d8-b851-b8a03c50a862"
"375eb3fe-af43-4d37-815a-d8bd891e8ca5","Spectacled bear database for Peru","10.15468/8dakqd","1e36575b-aaaf-4171-b226-846f766a516d"
"ac60a288-fcc9-43fe-a7d4-e732b748a981","Spider Mites Collection of Jean Gutierrez","10.15468/y3gua7","0d3422a3-d9fa-4dac-8921-3e03afc4c0a0"
"833db434-f762-11e1-a439-00145eb45e9a","The AAU Herbarium Database","10.15468/7uigwo","8e1a97a0-3ca8-11d9-8439-b8a03c50a862"
"d415c253-4d61-4459-9d25-4015b9084fb0","The New York Botanical Garden Herbarium (NY)","10.15468/6e8nje","ae447c50-b8a8-11d8-92a4-b8a03c50a862"
"85818aea-f762-11e1-a439-00145eb45e9a","The System-wide Information Network for Genetic Resources (SINGER)","10.15468/uw1buh","a3c228d0-3110-11db-abb8-b8a03c50a862"
"83a49751-4282-481e-a847-1c5c224a0551","The University and Jepson Herbaria -- Vascular Plants","10.15468/nmny7h","0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862"
"fea77396-7b26-44cb-8580-aefadc8db276","The cryptogamy collection (PC) at the Herbarium of the Mus<U+00E9>um national d'Histoire Naturelle (MNHN - Paris)","10.15468/mywiem","2cd829bb-b713-433d-99cf-64bef11e5b3e"
"225ee515-e526-4cc0-b86b-85e8f2e4c83a","The genus Begonia (Begoniaceae) in Peru","10.15468/2h8est","a064f300-1bc8-41ea-9364-b864ef4e8938"
"b5cdf794-8fa4-4a85-8b26-755d087bf531","The vascular plants collection (P) at the Herbarium of the Mus<U+00E9>um national d'Histoire Naturelle (MNHN - Paris)","10.15468/nc6rxy","2cd829bb-b713-433d-99cf-64bef11e5b3e"
"7bd65a7a-f762-11e1-a439-00145eb45e9a","Tropicos MO Specimen Data","10.15468/hja69f","90fd6680-349f-11d8-aa2d-b8a03c50a862"
"e053ff53-c156-4e2e-b9b5-4462e9625424","Tropicos Specimens Non-MO","10.15468/rxbp4w","90fd6680-349f-11d8-aa2d-b8a03c50a862"
"4852540d-afd1-4678-bd20-4aac28f65e2d","UAM Bird Collection (Arctos)","10.15468/cxoocz","d9699a79-4736-45c2-925c-f4033ac67d52"
"d64401ac-6349-4007-b565-477d5d584967","UB herbarium - Universidade de Bras<U+00ED>lia - Herb<U+00E1>rio Virtual REFLORA","10.15468/bgqkzt","838537fc-4aeb-4980-8b58-97fbdcd1d91a"
"8d88898d-a2c4-4616-a1fe-431b9c06b671","UTA Reptiles","10.15468/mlehrb","d003dd60-94fa-11da-a99f-b8a03c50a862"
"064508e2-255e-4d82-9f13-05d73476cc03","United Herbaria of the University and ETH Zurich","10.15468/tjvqci","605e7170-1123-11d9-8433-b8a03c50a862"
"85802736-f762-11e1-a439-00145eb45e9a","United States National Plant Germplasm System Collection","10.15468/ce7fox","9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26"
"ad004988-7cbf-4af7-9cdb-d7500cc025f2","University of Florida Herbarium - Bryophytes","10.15468/cuvh8t","8483a1f0-1032-11db-ae00-b8a03c50a862"
"8aa57fb1-a290-467f-a578-77ec8cbe76b6","University of Idaho, Stillinger Herbarium Vascular Plants","10.15468/8htpvx","6567af74-d231-4588-a123-5d0b7a095fda"
"c8d12f8a-7e39-4e2c-92d7-825d590ad15b","University of Michigan Herbarium","10.15468/nl8bvi","174c6da2-e002-42fe-9f56-2f9d670240f4"
"59825263-9f89-43a9-8f22-c22a6a53b8fc","University of Michigan Museum of Zoology, Division of Fishes","10.15468/8cxijb","6ea87510-0561-11d8-b851-b8a03c50a862"
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","University of Michigan Museum of Zoology, Division of Reptiles & Amphibians","10.15468/g3bard","6ea87510-0561-11d8-b851-b8a03c50a862"
"3eb2dcfd-5a51-4576-a12e-b7bdeea251a6","University of New Hampshire Collection of Insects and Arthropods (UNHC-UNHC)","10.15468/n36jmy","154da9ab-c010-422d-8fef-dbc54d10a3c6"
"16630817-fd43-49d6-bfff-ae5ffa473724","University of Tennessee Bryophyte Herbarium","10.15468/64w2b1","61c539d8-47e0-4b82-875f-b95aad66dcd4"
"0afba960-be3b-4202-a7de-736ae05aec9e","University of Vienna, Institute for Botany - Herbarium WU","10.15468/tnj8wm","58520c30-bafb-11d9-8e53-b8a03c50a862"
"8310f570-f762-11e1-a439-00145eb45e9a","University of Washington Herbarium (WTU) - Vascular Plant Collection","10.15468/plngb6","06fcbbf0-0562-11d8-b851-b8a03c50a862"
"854cf79e-f762-11e1-a439-00145eb45e9a","Vertebrate Zoology Division - Ornithology, Yale Peabody Museum","10.15468/h25uz7","2e167bb0-4441-11db-9ba2-b8a03c50a862"
"ed09ed80-262a-4882-8326-359a7d8f7c66","Wisconsin State Herbarium, Bryophytes","10.15468/qqawta","d6bd7c74-ff29-48f8-b5f5-e9dc1afff3db"
"13dacd48-5790-4b99-bf04-08b23922e8aa","Wisconsin State Herbarium, Vascular Plants","10.15468/jn7fkc","d6bd7c74-ff29-48f8-b5f5-e9dc1afff3db"
"b1047888-ae52-4179-9dd5-5448ea342a24","Xeno-canto - Bird sounds from around the world","10.15468/qv0ksn","1f00d75c-f6fc-4224-a595-975e82d7689c"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist Research-grade Observations","10.15468/ab3s5x","28eb1a3f-1c15-4a95-931a-4af90ecb574d"
